loss,accuracy,val_loss,val_accuracy,lr
0.00016240845434367657,1.0,0.00014342277427203953,1.0,0.001
0.00013770916848443449,1.0,0.00014303381612990052,1.0,0.001
0.00013192318147048354,1.0,0.00014271560939960182,1.0,0.001
0.00013348118227440864,1.0,0.00014283899508882314,1.0,0.001
0.00013526187103707343,1.0,0.00014099260442890227,1.0,0.001
0.0001458805927541107,1.0,0.00013770695659331977,1.0,0.001
0.00013434897118713707,1.0,0.00013440371549222618,1.0,0.001
0.00015844374138396233,1.0,0.00013055023737251759,1.0,0.001
0.00013123192184139043,1.0,0.0001266535691684112,1.0,0.001
0.00011958583490923047,1.0,0.00012423562293406576,1.0,0.001
0.00011663640907499939,1.0,0.00012277338828425854,1.0,0.001
0.00014351388381328434,1.0,0.00012109194358345121,1.0,0.001
0.00012064562179148197,1.0,0.00012173315190011635,1.0,0.001
0.00012915916158817708,1.0,0.00012127550871809945,1.0,0.001
0.00013110938016325235,1.0,0.00012000748392893001,1.0,0.001
0.00011769016418838874,1.0,0.0001151839314843528,1.0,0.001
0.00013305079482961446,1.0,0.00010977179044857621,1.0,0.001
0.00011213037214474753,1.0,0.00010618053784128278,1.0,0.001
0.00010778987052617595,1.0,0.00010470869165146723,1.0,0.001
0.00011634723341558129,1.0,0.00010453308641444892,1.0,0.001
0.0001256242539966479,1.0,0.00010408717935206369,1.0,0.001
0.00013101102376822382,1.0,0.00010335071419831365,1.0,0.001
0.00010058410407509655,1.0,0.00010261106217512861,1.0,0.001
0.00011403269309084862,1.0,0.00010224761354038492,1.0,0.001
9.790009062271565e-05,1.0,0.0001015473244478926,1.0,0.001
0.00011275254655629396,1.0,0.00010115619807038456,1.0,0.001
0.00011428738798713312,1.0,0.0001000275369733572,1.0,0.001
0.00010024585208157077,1.0,9.825872257351875e-05,1.0,0.001
9.475845581619069e-05,1.0,9.60711549851112e-05,1.0,0.001
0.00011588564666453749,1.0,9.314714407082647e-05,1.0,0.001
0.000111571149318479,1.0,8.968620386440307e-05,1.0,0.001
0.00010607227159198374,1.0,8.653760596644133e-05,1.0,0.001
9.39013552851975e-05,1.0,8.485659782309085e-05,1.0,0.001
9.25296699278988e-05,1.0,8.388226706301793e-05,1.0,0.001
9.578791650710627e-05,1.0,8.388386049773544e-05,1.0,0.001
8.992554649012163e-05,1.0,8.386735862586647e-05,1.0,0.0005
9.907294588629156e-05,1.0,8.415152842644602e-05,1.0,0.0005
9.973779378924519e-05,1.0,8.430478192167357e-05,1.0,0.0005
